"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"386176486295621632","","","2013-10-04 17:10:23 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","LINK THURSDAY!! ok it's friday. but go check out some links! http://t.co/zOyviYzMWr… (featuring @erickerr @gilbert @ThoughtCatalog &amp; more!)","","","","http://thatgirlmag.com/link-thursday-"
"386022071148355584","","","2013-10-04 06:56:48 +0000","<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","hey, remember this?: how to buy condoms http://t.co/WpbsTko5Mx #thatgirlmag #flashback","","","","http://is.gd/9usSDV"
"386011397068292096","","","2013-10-04 06:14:23 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","""some of us are true sluts, some of us are former sluts, and some of us are sluts in spirit…"" — Andrea A http://t.co/hRCD73p1PD","","","","http://disq.us/8fgj6p"
"385995614225702912","","","2013-10-04 05:11:40 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","new post! it’s link thursday! http://t.co/FRvcXQs1Pm #linkthursday #blogging #blogs #camera #juicebox #newyorker","","","","http://goo.gl/fb/CiNQo"
"385994854041669632","","","2013-10-04 05:08:39 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","LINK THURSDAY!! ok it's technically friday. but go check out some links! http://t.co/hEYvugetfp (featuring @HarperYi @ClaireLuchette &amp; more)","","","","http://www.thatgirlmag.com/link-thursday-2/"
"385977080561033216","385970214741237761","20693913","2013-10-04 03:58:01 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@collegeprepster Girlllll. Get that checked out. You sound like Hannah on Girls","","","",""
"385933188952244224","","","2013-10-04 01:03:37 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","""sometimes a man just wants his pants to fall down.""","","","",""
"385916328001146880","","","2013-10-03 23:56:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thelindywest: #gryffindorprivilege","385911944714018816","73244642","2013-10-03 23:39:12 +0000",""
"385899957662003200","","","2013-10-03 22:51:34 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Finally did some nail art I'm happy with #nails #indecisive http://t.co/vqwlmOXaWr","","","","http://instagram.com/p/fBcwwHmiD8/"
"385848831302434816","","","2013-10-03 19:28:24 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @morninggloria: I think we all agree that it was 100% the baby's fault, yes. RT @Olivianuzzi: I blame the baby.","385848556172476418","25375836","2013-10-03 19:27:19 +0000",""
"385841144401518592","","","2013-10-03 18:57:52 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","what the fuck, america. could we go like, three days without a totally insane thing happening?","","","",""
